Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,II,Euphyllia paraancora,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,US,ID,,4637.0,8716.0,live,,T,F
2016,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,BR,IT,BO,,1.0,leather products (large),,P,C
2016,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,TW,IT,CO,,96.0,leather products (small),,T,C
2016,III,Odobenus rosmarus,Mammalia,Carnivora,Odobenidae,Odobenus,CA,US,XX,,1.0,ivory carvings,,Q,O
2016,II,Hippocampus spp.,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,US,MY,,7.0,,bodies,,T,I
2016,II,Pachycereus pecten-aboriginum,,Caryophyllales,Cactaceae,Pachycereus,AW,NL,,,22.0,live,,,A
2016,II,Morelia viridis,Reptilia,Serpentes,Pythonidae,Morelia,US,ID,,23.0,,live,,T,F
2016,II,Acropora spp.,Anthozoa,Scleractinia,Acroporidae,Acropora,SM,SG,,70.0,,raw corals,,T,F
2016,II,Euphyllia yaeyamaensis,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,NZ,FJ,,100.0,,raw corals,,T,W
2016,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,CL,IT,,,30000.0,eggs (live),,B,O
2016,II,Opuntia phaeacantha,,Caryophyllales,Cactaceae,Opuntia,AE,NL,,,309.0,live,,,A
2016,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,ZA,FR,CN,,0.3,caviar,kg,T,C
2016,II,Nepenthes spp.,,Nepenthales,Nepenthaceae,Nepenthes,US,PH,,30.0,30.0,live,,T,A
2016,II,Polytelis alexandrae,Aves,Psittaciformes,Psittacidae,Polytelis,IL,BE,,,61.0,live,,T,C
2016,II,Python regius,Reptilia,Serpentes,Pythonidae,Python,MY,TG,,500.0,,live,,T,R
